",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"103,""2015_21_2"",""21_2"",21,""Fsyl"",6.1912,1777.232464,2015,""Parusmajor"",""58V92670"",""57V84725"",2015-04-19,7,1,5,5,NA"
"104,""2015_46_1"",""46_1"",46,""threespec"",18.7863,2443.81969,2015,""Parusmajor"",""58V92722"",NA,2015-04-23,8,1,7,7,NA"
"105,""2015_46_4"",""46_4"",46,""threespec"",18.7863,2443.81969,2015,""Parusmajor"",""58V92724"",""58V92723"",2015-04-23,7,0,7,7,NA"
"106,""2015_37_2"",""37_2"",37,""Qrub"",58.3536,1834.147379,2015,""Parusmajor"",""58V92740"",NA,2015-04-16,9,1,7,2,NA"
"107,""2015_42_4"",""42_4"",42,""Fsyl"",46.6448,1505.195427,2015,""Parusmajor"",""58V92784"",""58V92786"",2015-04-22,9,1,7,7,NA"
"108,""2015_42_3"",""42_3"",42,""Fsyl"",46.6448,1505.195427,2015,""Parusmajor"",""58V92785"",""56V00512"",2015-04-15,9,0,8,7,NA"
"109,""2015_39_4"",""39_4"",39,""FsylQrub"",46.6448,2118.242176,2015,""Parusmajor"",""58V92793"",NA,2015-04-18,7,1,6,0,NA"
"110,""2015_4_3"",""4_3"",4,""FsylQrub"",29.8253,2392.466844,2015,""Parusmajor"",""58V92800"",""58V92603"",2015-04-21,10,1,7,0,NA"
"111,""2015_18_3"",""18_3"",18,""Qrob"",90.3595,1258.831306,2015,""Parusmajor"",""58V92818"",""58V92817"",2015-04-21,8,1,5,5,NA"
"112,""2016_18_2"",""18_2"",18,""Qrob"",90.3595,1258.831306,2016,""Parusmajor"",""58V92818"",""59V39014"",2016-04-13,7,0,7,7,0.610115886"
"113,""2015_49_2"",""49_2"",49,""QrobQrub"",25.5002,1946.661629,2015,""Parusmajor"",""58V92819"",""58V92825"",2015-04-13,13,1,10,8,NA"
"114,""2015_26_4"",""26_4"",26,""Fsyl"",3.5305,839.5898714,2015,""Parusmajor"",""58V92851"",""58V92850"",2015-04-20,7,1,5,0,NA"
"115,""2015_9_3"",""9_3"",9,""FsylQrob"",90.3595,1331.566955,2015,""Parusmajor"",""58V92928"",NA,2015-04-17,8,1,7,7,NA"
"116,""2015_50_2"",""50_2"",50,""QrobQrub"",25.5002,2272.427065,2015,""Parusmajor"",""58V92938"",NA,2015-04-17,10,1,9,8,NA"
"117,""2015_51_1"",""51_1"",51,""QrobQrub"",25.5002,1674.359935,2015,""Parusmajor"",""58V92939"",""58V92826"",2015-04-12,9,1,7,7,NA"
"118,""2015_28_4"",""28_4"",28,""FsylQrob"",10.7426,1861.982544,2015,""Parusmajor"",""58V92949"",""58V92948"",2015-04-15,8,1,6,5,NA"
"119,""2015_28_1"",""28_1"",28,""FsylQrob"",10.7426,1861.982544,2015,""Parusmajor"",""58V92949"",""58V92996"",2015-04-17,8,0,6,5,NA"
"120,""2015_29_4"",""29_4"",29,""threespec"",10.7426,1982.888246,2015,""Parusmajor"",""58V92950"",""58V92973"",2015-04-12,10,1,9,9,NA"
"121,""2015_30_3"",""30_3"",30,""FsylQrob"",9.6915,1963.189302,2015,""Parusmajor"",""58V92951"",""58V92762"",2015-04-16,11,1,7,5,NA"
"122,""2015_23_1"",""23_1"",23,""FsylQrob"",44.1402,2590.644674,2015,""Parusmajor"",""58V92955"",""58V92956"",2015-04-20,8,0,7,6,NA"
"123,""2015_23_3"",""23_3"",23,""FsylQrob"",44.1402,2590.644674,2015,""Parusmajor"",""58V92957"",""58V92659"",2015-04-18,8,1,5,5,NA"
"124,""2015_49_1"",""49_1"",49,""QrobQrub"",25.5002,1946.661629,2015,""Parusmajor"",""58V92958"",""57V84749"",2015-04-13,6,1,5,5,NA"
"125,""2015_53_4"",""53_4"",53,""QrobQrub"",53.3881,655.90871,2015,""Parusmajor"",""58V92961"",""58V92987"",2015-04-16,7,1,6,4,NA"
"126,""2015_53_3"",""53_3"",53,""QrobQrub"",53.3881,655.90871,2015,""Parusmajor"",""58V92962"",""58V92963"",2015-04-19,7,1,6,4,NA"
"127,""2015_3_2"",""3_2"",3,""Fsyl"",43.7401,1202.986145,2015,""Parusmajor"",""58V92964"",NA,2015-04-17,5,1,4,4,NA"
"128,""2015_2_3"",""2_3"",2,""Fsyl"",43.7401,1811.174044,2015,""Parusmajor"",""58V92965"",""58V92966"",2015-04-20,8,1,5,5,NA"
"129,""2016_2_4"",""2_4"",2,""Fsyl"",43.7401,1811.174044,2016,""Parusmajor"",""58V92965"",""58V92967"",2016-04-12,9,0,8,8,0.016573571"
"130,""2015_4_1"",""4_1"",4,""FsylQrub"",29.8253,2392.466844,2015,""Parusmajor"",""58V92968"",NA,2015-04-16,8,1,5,5,NA"
"131,""2015_5_2"",""5_2"",5,""threespec"",29.8253,2200.019496,2015,""Parusmajor"",""58V92969"",NA,2015-04-19,6,1,4,4,NA"
"132,""2015_26_2"",""26_2"",26,""Fsyl"",3.5305,839.5898714,2015,""Parusmajor"",""58V92970"",""58V92972"",2015-04-22,7,1,4,0,NA"
"133,""2015_18_1"",""18_1"",18,""Qrob"",90.3595,1258.831306,2015,""Parusmajor"",""58V92980"",NA,2015-04-21,11,1,10,10,NA"
"134,""2015_7_3"",""7_3"",7,""threespec"",90.3595,1248.625509,2015,""Parusmajor"",""58V92981"",""58V92847"",2015-04-20,9,1,8,8,NA"
"135,""2015_52_4"",""52_4"",52,""Qrub"",53.3881,703.8043438,2015,""Parusmajor"",""58V92989"",""58V92988"",2015-04-22,6,0,6,NA,NA"
"136,""2016_36_3"",""36_3"",36,""Qrub"",58.3536,1206.265666,2016,""Parusmajor"",""59V39003"",""57V84771"",2016-04-08,6,0,6,4,0.07820119"
"137,""2016_47_4"",""47_4"",47,""Qrob"",18.7863,2059.032457,2016,""Parusmajor"",""59V39006"",NA,2016-04-05,10,0,9,8,0.319116032"
"138,""2016_13_4"",""13_4"",13,""FsylQrob"",90.3595,734.2083225,2016,""Parusmajor"",""59V39012"",""58V92580"",2016-04-09,9,0,8,8,0.076973456"
"139,""2016_18_3"",""18_3"",18,""Qrob"",90.3595,1258.831306,2016,""Parusmajor"",""59V39013"",""58V34704"",2016-04-12,8,0,8,8,0.610115886"
"140,""2016_27_1"",""27_1"",27,""FsylQrob"",1.313,1235.849916,2016,""Parusmajor"",""59V39016"",NA,2016-04-10,7,0,7,7,0.128860476"
"141,""2016_47_3"",""47_3"",47,""Qrob"",18.7863,2059.032457,2016,""Parusmajor"",""59V39031"",""59V39005"",2016-04-07,7,0,6,6,0.35076996"
"142,""2016_49_2"",""49_2"",49,""QrobQrub"",25.5002,1946.661629,2016,""Parusmajor"",""59V39048"",""59V39047"",2016-04-07,15,0,14,14,0.483399444"
"143,""2016_51_1"",""51_1"",51,""QrobQrub"",25.5002,1674.359935,2016,""Parusmajor"",""59V39050"",NA,2016-04-12,11,0,7,NA,0.613335536"
"144,""2016_5_4"",""5_4"",5,""threespec"",29.8253,2200.019496,2016,""Parusmajor"",""59V39059"",""59V39254"",2016-04-15,9,0,6,0,0.102549723"
"145,""2016_24_3"",""24_3"",24,""threespec"",44.1402,1106.881143,2016,""Parusmajor"",""59V39116"",""59V39444"",2016-04-16,9,0,9,9,0.062048413"
"146,""2016_42_2"",""42_2"",42,""Fsyl"",46.6448,1505.195427,2016,""Parusmajor"",""59V391819"",""59V39822"",2016-04-18,9,0,7,4,NA"
"147,""2016_32_1"",""32_1"",32,""QrobQrub"",35.4919,2006.642238,2016,""Parusmajor"",""59V39369"",""59V39370"",2016-04-08,6,0,5,5,0.186647143"
"148,""2016_34_2"",""34_2"",34,""QrobQrub"",35.4919,2128.950818,2016,""Parusmajor"",""59V39371"",""59V39026"",2016-04-10,8,0,6,6,0.19821247"
"149,""2016_47_2"",""47_2"",47,""Qrob"",18.7863,2059.032457,2016,""Parusmajor"",""59V39399"",NA,2016-04-07,9,0,9,9,0.377647143"
"150,""2016_11_1"",""11_1"",11,""threespec"",90.3595,850.7066029,2016,""Parusmajor"",""59V39417"",""59V39416"",2016-04-13,9,0,9,NA,0.110871397"
"151,""2016_21_1"",""21_1"",21,""Fsyl"",6.1912,1777.232464,2016,""Parusmajor"",""59V39421"",""59V39422"",2016-04-13,11,0,9,0,0.034609964"
"152,""2016_6_2"",""6_2"",6,""FsylQrub"",90.3595,2031.710199,2016,""Parusmajor"",""59V39498"",""59V39039"",2016-04-09,12,0,8,0,NA"
"153,""2016_20_1"",""20_1"",20,""Qrob"",3.0269,875.5084322,2016,""Parusmajor"",""59V39499"",""58V92464"",2016-04-08,12,0,12,12,0.509445923"
"154,""2016_12_2"",""12_2"",12,""FsylQrub"",90.3595,1747.115895,2016,""Parusmajor"",""59V39500"",""59V39418"",2016-04-13,9,0,8,8,NA"
"155,""2016_38_4"",""38_4"",38,""threespec"",46.6448,1588.065265,2016,""Parusmajor"",""59V39601"",""59V92794"",2016-04-13,4,0,4,3,0.39340373"
"156,""2016_16_3"",""16_3"",16,""Qrub"",90.3595,783.4203332,2016,""Parusmajor"",""59V39603"",""59V92974"",2016-04-09,9,0,7,6,0.098097838"
"157,""2016_40_2"",""40_2"",40,""Qrub"",46.6448,1756.705971,2016,""Parusmajor"",""59V39623"",NA,2016-04-18,11,0,10,9,0.070240048"
